time,open,high,low,close,volume
2020-07-20 07:10:00,188.25,188.25,188.25,188.25,104
2020-07-20 07:15:00,188.68,188.68,188.68,188.68,338
2020-07-20 07:45:00,188.26,188.26,188.2,188.2,431
2020-07-20 08:05:00,188.68,188.6802,187.85,187.85,12922
2020-07-20 08:15:00,188.21,188.48,188.21,188.48,617
2020-07-20 08:20:00,189.0,189.0,189.0,189.0,410
2020-07-20 08:30:00,189.0,189.0,188.48,188.48,502
2020-07-20 08:40:00,188.56,188.59,188.56,188.59,547
2020-07-20 08:55:00,188.66,188.66,188.66,188.66,100
2020-07-20 09:10:00,188.6,189.0,188.6,189.0,411
2020-07-20 09:20:00,188.62,189.64,188.62,189.64,247
2020-07-20 09:25:00,188.59,188.62,188.59,188.62,1589
2020-07-20 09:30:00,188.22,188.24,188.0,188.0,955
2020-07-20 09:35:00,187.9,188.8,187.78,188.62,174351
2020-07-20 09:40:00,188.815,188.815,187.27,188.1,111672
2020-07-20 09:45:00,188.02,188.7763,187.46,188.71,74681
2020-07-20 09:50:00,188.64,189.89,188.5,189.52,147182
2020-07-20 09:55:00,189.465,190.77,189.465,190.57,217018
2020-07-20 10:00:00,190.64,191.02,190.16,190.75,93054
2020-07-20 10:05:00,190.83,191.55,190.66,191.43,73995
2020-07-20 10:10:00,191.33,192.47,191.16,191.72,127021
2020-07-20 10:15:00,191.73,192.22,191.52,191.94,67853
2020-07-20 10:20:00,192.0,192.24,191.7,192.06,49085
2020-07-20 10:25:00,192.06,192.99,191.98,192.86,77935
2020-07-20 10:30:00,192.86,193.34,192.75,193.03,67972
2020-07-20 10:35:00,193.01,193.21900000000002,192.62,192.69,54563
2020-07-20 10:40:00,192.69,193.44,192.68,193.4,87487
2020-07-20 10:45:00,193.46,194.17,193.44,194.09,118451
2020-07-20 10:50:00,194.09,194.52,193.75,194.2,133815
2020-07-20 10:55:00,194.2,194.21,193.7301,193.78,73875
2020-07-20 11:00:00,193.81,193.895,193.44,193.5,59057
2020-07-20 11:05:00,193.57,193.64,192.84,192.94,58183
2020-07-20 11:10:00,192.94,193.26,192.77,192.91,96307
2020-07-20 11:15:00,192.89,193.26,192.89,193.17,33272
2020-07-20 11:20:00,193.23,193.96,193.23,193.5,179871
2020-07-20 11:25:00,193.51,193.51,192.8873,193.22,241780
2020-07-20 11:30:00,193.13,193.4,193.05,193.38,33502
2020-07-20 11:35:00,193.36,193.4,193.19,193.26,26671
2020-07-20 11:40:00,193.26,193.81,193.26,193.67,36190
2020-07-20 11:45:00,193.675,193.79,193.5,193.635,31766
2020-07-20 11:50:00,193.62,193.81,193.56,193.7516,27170
2020-07-20 11:55:00,193.75,193.835,193.64,193.77,30738
2020-07-20 12:00:00,193.78,193.89,193.685,193.845,24853
2020-07-20 12:05:00,193.91,193.91,193.57,193.675,49860
2020-07-20 12:10:00,193.66,193.9,193.45,193.51,83736
2020-07-20 12:15:00,193.51,193.7302,193.44,193.46,30875
2020-07-20 12:20:00,193.47,193.47,193.03,193.08,86699
2020-07-20 12:25:00,193.08,193.1362,192.96,193.0,48840
2020-07-20 12:30:00,193.02,193.04,192.57,192.78,41884
2020-07-20 12:35:00,192.78,192.78,192.44,192.68,43467
2020-07-20 12:40:00,192.71,192.95,192.65,192.69,56418
2020-07-20 12:45:00,192.72,192.86,192.6,192.86,27257
2020-07-20 12:50:00,192.85,192.9,192.68,192.8208,24055
2020-07-20 12:55:00,192.83,192.97,192.83,192.97,24525
2020-07-20 13:00:00,192.94,193.01,192.83,192.99,36704
2020-07-20 13:05:00,193.03,193.085,192.96,193.0,41281
2020-07-20 13:10:00,193.02,193.08,192.96,193.06,21783
2020-07-20 13:15:00,193.06,193.1,192.91,192.92,21461
2020-07-20 13:20:00,192.96,193.05,192.91,192.97,28904
2020-07-20 13:25:00,192.97,193.0425,192.92,192.98,24371
2020-07-20 13:30:00,192.96,193.02,192.7,192.79,47476
2020-07-20 13:35:00,192.79,192.82,192.7,192.8,30911
2020-07-20 13:40:00,192.85,193.06,192.82,192.935,43483
2020-07-20 13:45:00,192.92,193.6,192.92,193.45,88570
2020-07-20 13:50:00,193.45,193.65,193.28,193.625,22956
2020-07-20 13:55:00,193.64,193.64,193.335,193.48,34325
2020-07-20 14:00:00,193.52,193.67,193.44,193.6,32141
2020-07-20 14:05:00,193.62,193.8,193.54,193.76,24250
2020-07-20 14:10:00,193.775,193.99,193.75,193.955,38793
2020-07-20 14:15:00,193.96,194.3,193.96,194.29,53094
2020-07-20 14:20:00,194.24,194.32,194.04,194.25,43377
2020-07-20 14:25:00,194.2665,194.37,194.15,194.32,35603
2020-07-20 14:30:00,194.36,194.49,194.18,194.46,48893
2020-07-20 14:35:00,194.465,194.65,194.32,194.64,53199
2020-07-20 14:40:00,194.64,194.64,194.4101,194.57,33882
2020-07-20 14:45:00,194.57,194.7,194.52,194.62,30685
2020-07-20 14:50:00,194.62,194.775,194.62,194.72,33147
2020-07-20 14:55:00,194.69,194.79,194.57,194.63,33687
2020-07-20 15:00:00,194.61,194.85,194.58,194.83,37158
2020-07-20 15:05:00,194.83,194.8599,194.43,194.5,59250
2020-07-20 15:10:00,194.48,194.5128,194.07,194.1,111716
2020-07-20 15:15:00,194.1,194.33,193.94,194.1912,117930
2020-07-20 15:20:00,194.22,194.4,194.09,194.365,88211
2020-07-20 15:25:00,194.36,194.6374,194.25,194.315,164223
2020-07-20 15:30:00,194.32,194.78,194.32,194.72,41946
2020-07-20 15:35:00,194.72,194.89,194.49,194.515,86210
2020-07-20 15:40:00,194.5,194.85,194.24,194.81,107742
2020-07-20 15:45:00,194.81,194.94,194.77,194.91,82000
2020-07-20 15:50:00,194.92,195.25,194.9,195.185,100911
2020-07-20 15:55:00,195.2,195.3,194.96,195.11,134241
2020-07-20 16:00:00,195.1,195.31,195.0,195.08,205984
2020-07-20 16:05:00,195.09,195.09,195.09,195.09,37338
2020-07-20 16:10:00,194.5,195.36,194.5,195.36,688
2020-07-20 16:15:00,195.75,195.75,195.55,195.55,2910
2020-07-20 16:20:00,195.09,195.09,195.0,195.0,7983
2020-07-20 16:30:00,195.01,195.09,195.01,195.09,3649
2020-07-20 16:45:00,195.0,195.0,194.01,194.01,961
2020-07-20 16:55:00,194.94,195.09,194.94,195.09,500
