time,open,high,low,close,volume
2020-08-03 04:05:00,273.4,273.4,273.4,273.4,100
2020-08-03 08:05:00,274.98,274.98,274.98,274.98,233
2020-08-03 09:10:00,274.9776,274.9776,274.9776,274.9776,126
2020-08-03 09:20:00,274.2,274.2,274.2,274.2,109
2020-08-03 09:25:00,274.31,274.31,274.3,274.3,300
2020-08-03 09:35:00,274.2,277.33,274.0,276.845,86064
2020-08-03 09:40:00,277.2,277.515,275.35,276.74,40356
2020-08-03 09:45:00,277.0,277.31,276.45,276.61400000000003,34617
2020-08-03 09:50:00,276.74,277.1,276.43,276.61,27614
2020-08-03 09:55:00,276.63,278.87,276.51,278.0,72311
2020-08-03 10:00:00,278.24,279.38,277.79,278.555,27345
2020-08-03 10:05:00,278.64,280.59,278.58,279.77,42888
2020-08-03 10:10:00,279.49,280.08,278.9,279.77,30425
2020-08-03 10:15:00,279.895,280.15,278.855,279.46,26837
2020-08-03 10:20:00,279.47,279.47,278.64,278.74,13979
2020-08-03 10:25:00,278.57,279.04,277.05,277.63,28946
2020-08-03 10:30:00,277.61,277.61,277.07,277.07,14715
2020-08-03 10:35:00,277.23,277.54,276.82,277.5,15551
2020-08-03 10:40:00,277.435,278.02,277.04,277.8,8569
2020-08-03 10:45:00,277.81,278.025,277.19,277.27,8641
2020-08-03 10:50:00,277.42,277.42,276.52,277.04,19561
2020-08-03 10:55:00,277.1,278.2,276.9,278.05,12876
2020-08-03 11:00:00,277.945,278.83,277.91,278.35,11755
2020-08-03 11:05:00,278.51,278.63,278.0,278.38,8954
2020-08-03 11:10:00,278.38,279.18,278.1601,279.18,15207
2020-08-03 11:15:00,279.05,279.51,278.62,279.23,13165
2020-08-03 11:20:00,279.55,279.55,278.32,278.32,17331
2020-08-03 11:25:00,278.595,278.595,277.2,277.4,12401
2020-08-03 11:30:00,277.47,277.59,276.88,277.1,10022
2020-08-03 11:35:00,277.09,277.2226,276.76,277.02,9062
2020-08-03 11:40:00,276.99,277.84,276.69,277.66,14314
